REF DU MUSEE;NOM DU MUSEE;ANNEE;REGION;VILLE;DATE APPELLATION;PAYANT;GRATUIT;TYPE_ACCESSIBILITE;TOTAL;NOTE;ID MUSEOFILE;DEPARTEMENT;OBSERVATIONS
8109902;Muséum d'histoire naturelle Philadelphe Thomas;2001;OCCITANIE;GAILLAC;;1330;2789;MIXTE;4119;;;TARN;
8111501;Musée Départemental du Textile;2009;OCCITANIE;LA-BASTIDE-ROUAIROUX;01/02/2003;2608;3139;MIXTE;5747;;;TARN;
8200801;Musée du Vieil Auvillar;2009;OCCITANIE;AUVILLAR;01/02/2003;2892;1778;MIXTE;4670;;;TARN-ET-GARONNE;
8211202;Musée des arts et traditions populaires;2009;OCCITANIE;MOISSAC;01/02/2003;4082;0;PAYANT;4082;;;TARN-ET-GARONNE;
8215501;Musée de Préhistoire;2009;OCCITANIE;SAINT-ANTONIN-NOBLE-VAL;01/02/2003;674;0;PAYANT;674;;;TARN-ET-GARONNE;
5909201;Musée de l'Ostrevant;2009;HAUTS-DE-FRANCE;BOUCHAIN;01/02/2003;217;568;MIXTE;785;;;NORD;
5917801;Musée de la Chartreuse;2009;HAUTS-DE-FRANCE;DOUAI;01/02/2003;6424;54625;MIXTE;61049;;;NORD;
5927301;Musée du Dessin et de l'Estampe Originale;2009;HAUTS-DE-FRANCE;GRAVELINES;01/02/2003;2213;7938;MIXTE;10151;;;NORD;
5935003;Musée d'Histoire Naturelle et de Géologie;2009;HAUTS-DE-FRANCE;LILLE;01/02/2003;80368;0;PAYANT;80368;;;NORD;
5955501;Musée du Verre;2009;HAUTS-DE-FRANCE;SARS-POTERIES;01/02/2003;3760;6998;MIXTE;10758;;;NORD;
5959901;Musée d'Art et d'Industrie;2009;HAUTS-DE-FRANCE;TOURCOING;01/02/2003;0;39900;GRATUIT;39900;;;NORD;
5960601;Musée des Beaux-Arts;2009;HAUTS-DE-FRANCE;VALENCIENNES;06/01/2002;39238;0;PAYANT;39238;;;NORD;
6211901;Musée Régional d'Ethnologie;2009;HAUTS-DE-FRANCE;BETHUNE;01/02/2003;0;1850;GRATUIT;1850;;;PAS-DE-CALAIS;
6231801;Musée Quentovic;2009;HAUTS-DE-FRANCE;ETAPLES-SUR-MER;01/02/2003;2277;464;MIXTE;2741;;;PAS-DE-CALAIS;
6276701;Musée Municipal Bruno Danvin;2009;HAUTS-DE-FRANCE;SAINT-POL-SUR-TERNOISE;01/02/2003;0;2961;GRATUIT;2961;;;PAS-DE-CALAIS;
6277301;Musée Jean-Charles Cazin;2009;HAUTS-DE-FRANCE;SAMER;01/02/2003;0;633;GRATUIT;633;;;PAS-DE-CALAIS;
1411804;Mémorial de Caen;2009;NORMANDIE;CAEN;01/02/2003;324000;66000;MIXTE;390000;;;CALVADOS;
1411803;Musée d'Initiation à la Nature;2009;NORMANDIE;CAEN;01/02/2003;0;3751;GRATUIT;3751;;;CALVADOS;
1447801;Musée Municipal;2009;NORMANDIE;ORBEC;01/02/2003;645;1409;MIXTE;2054;;;CALVADOS;
5017301;Musée Municipal;2009;NORMANDIE;EQUEURDREVILLLE-HAINNEVILLE;01/02/2003;0;2920;GRATUIT;2920;;;MANCHE;
5021802;Musée du Vieux Granville;2009;NORMANDIE;GRANVILLE;01/02/2003;5208;6034;MIXTE;11242;;;MANCHE;
5063901;Musée de la Poeslerie;2009;NORMANDIE;VILLEDIEU-LES-POELES-ROUFFIGNY;01/02/2003;10397;676;MIXTE;11073;;;MANCHE;
6146401;Musée Départemental d'Art Sacré;2009;NORMANDIE;SEES;01/02/2003;768;0;PAYANT;768;;;ORNE;
2718301;Musée Artisanal et Industriel d'Instruments à Vent;2009;NORMANDIE;LA COUTURE-BOUSSEY;01/02/2003;3488;1221;MIXTE;4709;;;EURE;
2701601;Musée Municipal Nicolas Poussin;2009;NORMANDIE;LES ANDELYS;01/02/2003;954;1984;MIXTE;2938;;;EURE;
7645201;Musée des Sapeurs-Pompiers de France;2009;NORMANDIE;MONTVILLE;01/02/2003;6537;1458;MIXTE;7995;;;SEINE-MARITIME;
7654002;MUNAE - Musée National de l'Education;2009;NORMANDIE;ROUEN;06/01/2002;2587;10627;MIXTE;13214;;;SEINE-MARITIME;
7654005;Musée des Beaux-Arts;2009;NORMANDIE;ROUEN;06/01/2002;35875;57925;MIXTE;93800;;;SEINE-MARITIME;
4406901;Musée du Pays de Guérande et de la Porte Saint Michel;2009;PAYS DE LA LOIRE;GUERANDE Cedex;01/02/2003;17200;7635;MIXTE;24835;;;LOIRE-ATLANTIQUE;
4410901;Muséum d'Histoire Naturelle de Nantes;2009;PAYS DE LA LOIRE;NANTES;06/01/2002;26067;48718;MIXTE;74785;;;LOIRE-ATLANTIQUE;
4410902;Musée d'Art de Nantes;2009;PAYS DE LA LOIRE;NANTES;06/01/2002;45746;108733;MIXTE;154479;;;LOIRE-ATLANTIQUE;
4416801;Musées du Parc Naturel Régional de Brière;2009;PAYS DE LA LOIRE;SAINT-JOACHIM;01/02/2003;3165;368;MIXTE;3533;;;LOIRE-ATLANTIQUE;"4416801 ; 4417501 ; 4417601"
4900703;Musée Jean Lurcat et de la Tapisserie Contemporaine;2009;PAYS DE LA LOIRE;ANGERS;01/02/2003;16982;42214;MIXTE;59196;;;MAINE-ET-LOIRE;
5312201;Musée Archéologique Départemental de Jublains;2009;PAYS DE LA LOIRE;JUBLAINS;18/07/2002;8232;19769;MIXTE;28001;;;MAYENNE;
5314701;Musée du Château de Mayenne;2009;PAYS DE LA LOIRE;MAYENNE;01/02/2003;11742;10736;MIXTE;22478;;;MAYENNE;
7226901;Bibliothèque-musée;2009;PAYS DE LA LOIRE;SAINT-CALAIS;01/02/2003;100;3500;MIXTE;3600;;;SARTHE;
8509201;Musée de Fontenay-le-Comte;2009;PAYS DE LA LOIRE;FONTENAY-LE-COMTE;14/12/2002;2365;3590;MIXTE;5955;;;VENDEE;
8512901;Historial de la Vendée;2009;PAYS DE LA LOIRE;LES LUCS-SUR-BOULOGNE;01/02/2003;36502;28595;MIXTE;65097;;;VENDEE;
8515401;Musée Clemenceau et de Lattre-de-Tassigny;2009;PAYS DE LA LOIRE;MOUILLERON-EN-PAREDS;06/01/2002;1546;4235;MIXTE;5781;;;VENDEE;
216801;Musée Jean de la Fontaine;2009;HAUTS-DE-FRANCE;CHATEAU-THIERRY;01/02/2003;12481;0;PAYANT;12481;;;AISNE;
236102;Familistère de Guise;2009;HAUTS-DE-FRANCE;GUISE;01/02/2003;32201;4390;MIXTE;36591;;;AISNE;
269101;Musée Entomologique;2009;HAUTS-DE-FRANCE;SAINT-QUENTIN;01/02/2003;4073;5175;MIXTE;9248;;;AISNE;
269102;Musée des Beaux-Arts Antoine Lecuyer;2009;HAUTS-DE-FRANCE;SAINT-QUENTIN;01/02/2003;6317;6110;MIXTE;12427;;;AISNE;
6005701;Musée Départemental de l'Oise;2009;HAUTS-DE-FRANCE;BEAUVAIS;01/02/2003;0;31981;GRATUIT;31981;;;OISE;
6015905;Musée de la Figurine Historique;2009;HAUTS-DE-FRANCE;COMPIEGNE;01/02/2003;4816;2646;MIXTE;7462;;;OISE;
8062001;Musée Alfred Danicourt;2009;HAUTS-DE-FRANCE;PERONNE;01/02/2003;0;2147;GRATUIT;2147;;;SOMME;
1601501;Musée des Beaux-Arts;2009;NOUVELLE-AQUITAINE;ANGOULEME;01/02/2003;0;44798;GRATUIT;44798;;;CHARENTE;
1601504;Cité International de la Bande Dessinée et de l'Image - Musée de la Bande Dessinée;2009;NOUVELLE-AQUITAINE;ANGOULEME;01/02/2003;11885;36077;MIXTE;47962;;;CHARENTE;
1715301;Musée de la Mytiliculture;2009;NOUVELLE-AQUITAINE;ESNANDES;01/02/2003;4523;63;MIXTE;4586;;;CHARENTE-MARITIME;
1729903;Hôtel Hèbre de Saint-Clément - Musée d'Art et d'Histoire;2009;NOUVELLE-AQUITAINE;ROCHEFORT;28/03/2002;3183;17200;MIXTE;20383;;;CHARENTE-MARITIME;
1741503;Musée Archéologique;2009;NOUVELLE-AQUITAINE;SAINTES;01/02/2003;2277;35858;MIXTE;38135;;;CHARENTE-MARITIME;
1741504;Musée Dupuy-Mestreau;2009;NOUVELLE-AQUITAINE;SAINTES;01/02/2003;1138;2550;MIXTE;3688;;;CHARENTE-MARITIME;
1734701;Musée Municipal des Cordeliers;2009;NOUVELLE-AQUITAINE;SAINT-JEAN-D'ANGELY;01/02/2003;1101;2396;MIXTE;3497;;;CHARENTE-MARITIME;
